Puzzle,Solution,
.3.........5....7.....3.4.51..7.2.4..7.9.6.1..96...5...6...92....2....3...4.....6,731564928645298173829137465153782649478956312296413587367849251912675834584321796,
......1.642...3....1.92........71.....3.4.....7.689..47.....9.319...7.....6....4.,839754126425163879617928435564371298983245617271689354742516983198437562356892741,
.15..64......3....4....9..7..8.61......74....1..5.....6.7..4..98.....6353.9...8..,215876493796432518483159267538961742962748351174523986657384129841297635329615874,
.49..5.3....6.....231.4........7.5....4.6...1.7.3..9.6.....7.1.9.2......41...9...,649215738758693142231748695326971584894562371175384926563427819982136457417859263,
.2....3..47..52.....84..5....2...7....7...83...3..9.6.3..2...7....6..28......4..9,125968347476352918938417526612843795597126834843579162369285471754691283281734659,
18.3.4..64....9..1..9...7.86...5....8..1....9..5.............1.54.87..3.36......7,187324596456789321239615748623958174874163259915247863798432615541876932362591487,
.......1......249...1..46.5.28...7..5........6.48..15..........1.56......8..2..47,459736218867512493231984675928451736513267984674893152792345861145678329386129547,
75.4....8.....8..34.3..9.......5.42..1.......83..2.5..1.....8.43..19.7...75...1..,756432918291578643483619275967853421512946387834721596129367854348195762675284139,
...7.2.....7534............2.1.....3.....8.46...2....718..6.5..7.54...8..4..8..3.,356792418817534962924816375271649853593178246468253197189367524735421689642985731,
.28.5.1............1......9.5.49...1...2..84.....1.6.559.64....18...75..6.7......,428359176369174258715826439856493721971265843243718695592641387184937562637582914,
...3...6...2.47.8..69.8....7.5..84...3.2..97......3..2.....6.2...6.....7.9......8,487319265352647189169582743725198436638254971914763852871936524546821397293475618,
....8.19..72...3....423..8.4.....9....5..84...1.....75..3.9.7...5..2..........8.1,536487192872915346194236587467352918925178463318649275683591724751824639249763851,
1.4.....9..324......57.8....8.5.7..3.2..1...5......82.........44..98..3.....3....,174653289893241576265798341689527413327814965541369827938172654416985732752436198,
53.6..9...6..7......7....28.........9..56.3....62.......3.5..8......7..4....84.65,538612947264879513197435628352741896941568372876293451423156789685927134719384265,
.9.76..48.6.8.3.753..5..............134...7......41.6.87.95.4...........61.......,591762348462893175387514296926375814134689752758241963873956421245137689619428537,
..1.975.......2.71.9....4.8.532..7..1.9.7..54.4..18.....5........41.............2,461897523538462971792351468853249716129673854647518239315924687274186395986735142,
..65.218..8.4.9........8.....91.....2.36....5.1...3..2.35...4..1..9...2..4..8....,496532187387419256521768349859127634273694815614853972935271468168945723742386591,
1.4..9.......42.8.68............85...93..4..1.......9.5..3...4.8....192....9.....,134869275975142386682735419716298534293574861458613792529386147867451923341927658,
...........8596......478.3.7.......9..4..3..6....5.......6.7...9...2.4.857.....23,497312865328596147156478932785264319214983756639751284842637591963125478571849623,
